headline,Positive,Neutral,Negative,Compound
Rocket Launches and Trips to the Moon We’re Looking Forward To in 2018,0.0,1.0,0.0,0.0
"18 Years Into the New Millennium, Finding My Younger Self",0.0,1.0,0.0,0.0
Renewal or Gentrification? London Borough Grapples With a Revamp,0.0,1.0,0.0,0.0
A Prescient Sci-Fi ‘Parable’ Gets Set to Music,0.0,1.0,0.0,0.0
"And for His Next Trick, Hopping Genres",0.0,0.833,0.167,-0.0516
"Fast, Cheap Testing for Tuberculosis? Soon It May Be Possible",0.0,1.0,0.0,0.0
New Jersey Teenager in Custody After 4 Are Found Shot to Death in Home,0.0,0.769,0.231,-0.5994
Happy New Year!,0.666,0.334,0.0,0.6114
Conquering Her Mobility Obstacles With an Upbeat Attitude,0.0,0.729,0.271,-0.3818
"Korean War, a ‘Forgotten’ Conflict That Shaped the Modern World",0.0,0.563,0.437,-0.7351
Fiber Is Good for You. Now Scientists May Know Why.,0.244,0.756,0.0,0.4404
"Art-World Giants Give $40,000 Grants to Three Poets",0.213,0.787,0.0,0.2263
Deadly Iran Protests Prompt Warning of Harsher Response,0.0,0.4,0.6,-0.7579
Several N.F.L. Coaches Depart as Regular Season Ends,0.0,1.0,0.0,0.0
Recreational Pot Is Officially Legal in California,0.2,0.8,0.0,0.128
"With Disney Deal Looming, Murdoch’s Empire Is Fractured",0.0,0.824,0.176,-0.128
Those Seatback Screens on Planes Are Starting to Disappear,0.0,0.808,0.192,-0.2263
"Teterboro Airport: Steeped in Glamour, History and Noise",0.327,0.673,0.0,0.5267
Lena Hall Plans an Ambitious Tribute to Her Favorite Musicians,0.433,0.567,0.0,0.7269
"In Chilly Start to 2nd Term, Mayor Looks Beyond New York",0.0,1.0,0.0,0.0
"Fighting Climate Change, One Laundry Load at a Time",0.0,0.762,0.238,-0.3612
How Antivirus Software Can Be Turned Into a Tool for Spying,0.0,1.0,0.0,0.0
Taylor Swift’s ‘Reputation’ Takes Back No. 1 on the Chart,0.0,1.0,0.0,0.0
National Anthem Protests Sidelined by Ambiguity,0.0,0.725,0.275,-0.2263
A Literary Portrait of Richard Avedon Causes Controversy,0.0,1.0,0.0,0.0
"On the Trail of a Story in Lebanon, Stumbling on a Scoop",0.127,0.873,0.0,0.1531
"The Trump Effect: Business, Anticipating Less Regulation, Loosens Purse Strings",0.0,1.0,0.0,0.0
"At a Frigid Winter Classic, the Rangers Hold Off the Sabres",0.0,1.0,0.0,0.0
Meeting Bill Murray,0.0,1.0,0.0,0.0
Emboldened Israeli Right Presses Moves to Doom 2-State Solution,0.192,0.583,0.225,-0.1027
2 American Families Are Mourned After Plane Crash in Costa Rica,0.0,0.643,0.357,-0.6124
Weather and Visiting Senator Steal the Show at de Blasio Inauguration,0.0,0.758,0.242,-0.4939
"At de Blasio Inaugural, Speeches by Two Who Might Replace Him",0.0,1.0,0.0,0.0
Park or Playground? Semantics Dispute Illuminates Preservationists’ Fight,0.0,0.531,0.469,-0.6486
Toasts to the Deals (and Other Winners) of 2017,0.279,0.721,0.0,0.4767
Peter Martins Retires From New York City Ballet After Misconduct Allegations,0.0,1.0,0.0,0.0
"Ukraine’s Lofty Ambitions, Fallen to Earth",0.0,0.667,0.333,-0.3612
College Football Playoff: Georgia Outlasts Oklahoma in Rose Bowl,0.0,1.0,0.0,0.0
"Gretchen Carlson, Miss America 1989, Is Picked to Lead Pageant",0.0,0.849,0.151,-0.1531
Disobey an Order,0.0,1.0,0.0,0.0
How Much Will Isaiah Thomas Improve the Cavaliers?,0.293,0.707,0.0,0.4404
"No Corrections: January 2, 2018",0.0,0.645,0.355,-0.296
"In a Top-Heavy Premier League, More Teams Rush to the Bunker",0.0,1.0,0.0,0.0
Word + Quiz: abscond,0.0,1.0,0.0,0.0
Alabama Beats Clemson to Set Up All-S.E.C. Championship Game,0.266,0.734,0.0,0.4404
"Kim Jong-un Goes Dapper, Updating His Style Along With His Arsenal",0.0,1.0,0.0,0.0
"‘Fake News’: Wide Reach but Little Impact, Study Suggests",0.116,0.884,0.0,0.0129
New Year’s Resolutions,0.0,1.0,0.0,0.0
"To Sate China’s Demand, African Donkeys Are Stolen and Skinned",0.0,0.63,0.37,-0.5719
"8 Easy, Meaningful New Year’s Resolutions for Better Health",0.574,0.426,0.0,0.7964
"Teenagers, Stop Asking for Nude Photos",0.0,0.694,0.306,-0.296
South Korea Proposes Border Talks With North Korea After Kim’s Overture,0.0,1.0,0.0,0.0
What Are Your Predictions for 2018?,0.0,1.0,0.0,0.0
Why the U.S. Spends So Much More Than Other Nations on Health Care,0.211,0.789,0.0,0.4939
Teaching Activities for: ‘Powerful Hollywood Women Unveil Anti-Harassment Action Plan’,0.0,1.0,0.0,0.0
Can an Algorithm Tell When Kids Are in Danger?,0.0,0.702,0.298,-0.5267
How Langston Hughes Brought His Radical Vision to the Novel,0.35,0.65,0.0,0.5106
An Unrelenting Georgia Wears Down Oklahoma in a Clash of Styles,0.0,1.0,0.0,0.0
American Politics Is Swamped With ‘Bad Faith’ Actors,0.0,1.0,0.0,0.0
A Cuban Island That Has Played Both Paradise and Prison,0.391,0.414,0.195,0.5106
O Cold Night!,0.0,1.0,0.0,0.0
"In Hastings-on-Hudson, a House in the Trees",0.0,1.0,0.0,0.0
"Hard-Liners and Reformers Tapped Iranians’ Ire. Now, Both Are Protest Targets.",0.0,0.833,0.167,-0.25
Pakistan Dismisses Trump’s Tweet on Aid as ‘Incomprehensible’,0.0,1.0,0.0,0.0
Hoda Kotb Named to Replace Matt Lauer as Co-Anchor of NBC’s ‘Today’,0.0,1.0,0.0,0.0
Peter Thiel Is a Bitcoin Believer: DealBook Briefing,0.0,1.0,0.0,0.0
President Trump Threatens to Withhold Aid to Palestinians,0.0,0.729,0.271,-0.3818
"Logan Paul, YouTube Star, Says Posting Video of Dead Body Was ‘Misguided’",0.0,0.719,0.281,-0.6486
"Afraid of Falling? For Older Adults, the Dutch Have a Cure",0.0,0.862,0.138,-0.1531
History Is About to Change at New York City Ballet. How?,0.0,1.0,0.0,0.0
"Tiffany Haddish on Nasty Men, Her ‘S.N.L.’ Feat and ‘Girls Trip’",0.0,0.735,0.265,-0.5574
A Saucy App Knows China’s Taste in News. The Censors Are Worried.,0.0,0.694,0.306,-0.5267
Dylan McDermott: The First Time I Waited On a Celebrity’s Table,0.0,1.0,0.0,0.0
"Scandals Keep Breaking, but Restaurateurs Have Yet to Own Up",0.0,0.811,0.189,-0.2732
Saban’s Great. We Get It. But Can We Pause to Embrace Georgia?,0.355,0.645,0.0,0.6705
New & Noteworthy,0.0,1.0,0.0,0.0
"Seeing an Opening to Leave Her Husband, She Took It and Didn’t Look Back",0.0,0.915,0.085,-0.0516
The Kindest Cut of All: A Pork Rib With Slow-Cooked Comforts,0.218,0.634,0.148,0.25
"For Michelle Ellsworth, Practice Makes … More Practice",0.0,1.0,0.0,0.0
"After 8 Years, La Goulue Reopens on the Upper East Side",0.0,1.0,0.0,0.0
"Pulled From the Past: Easy, Delicious Recipes for 2018",0.485,0.515,0.0,0.765
Taiwan Dentist Must Pay His Mother Nearly $1 Million for ‘Upbringing’,0.0,0.877,0.123,-0.1027
Fire Kills 13 Monkeys at U.K. Safari Park,0.0,0.504,0.496,-0.7096
Review: ‘The X-Files’ in a Familiar Groove,0.0,1.0,0.0,0.0
"In Hollywood, Another Sign of Women Punching Back",0.0,1.0,0.0,0.0
"Orrin Hatch, Utah Senator, to Retire, Opening Path for Mitt Romney",0.0,1.0,0.0,0.0
Behind the Cover: 12.31.17,0.0,1.0,0.0,0.0
Dave Chappelle Stumbles Into the #MeToo Moment,0.0,1.0,0.0,0.0
"A Cleansing Juice Recipe, From the Missoni Family",0.0,1.0,0.0,0.0
Building a Modern Airport in Salt Lake City From One Well Past Its Prime,0.139,0.861,0.0,0.2732
Recent Commercial Real Estate Transactions,0.0,1.0,0.0,0.0
Vice Media Places Two Executives on Leave,0.0,0.833,0.167,-0.0516
Olivia Wilde Doesn’t Do a Painted-on Face,0.0,1.0,0.0,0.0
"The Best TV Shows and Movies New to Netflix, Amazon and More in January",0.33,0.67,0.0,0.7096
"Trump Reiterates Support for Iranian Protesters, but Also Criticizes Obama",0.138,0.522,0.34,-0.4019
"With ‘The Chi,’ Lena Waithe Heads Home in Search of the Real Chicago",0.0,1.0,0.0,0.0
TV Content Wars: Too Many Characters Chasing Not Enough Action,0.0,0.714,0.286,-0.5574
"Florida Man Charged With Beating Stepson, 7, to Death",0.0,0.408,0.592,-0.8271
Obesity Is the Main Contributor to Diabetes in Blacks and Whites,0.0,1.0,0.0,0.0
"Ballet Leaders Allowed Peter Martins to Act With Impunity, Dancers Say",0.0,1.0,0.0,0.0
On Next Council Speaker’s Agenda: More Oversight and More Subway Aid,0.0,1.0,0.0,0.0
What We’re Reading,0.0,1.0,0.0,0.0
Tips from Sneaker Heads on Scoring the Hottest Shoes and Keeping Them Fresh,0.161,0.839,0.0,0.3182
German Lawmaker Who Called Muslims ‘Rapist Hordes’ Faces Sanctions,0.0,1.0,0.0,0.0
Care Suffers as More Nursing Homes Feed Money Into Corporate Webs,0.209,0.588,0.203,0.0258
"China, Moving to Cut Emissions, Halts Production of 500 Car Models",0.0,0.826,0.174,-0.2732
It’s So Cold That ...,0.0,1.0,0.0,0.0
The Best Movies and TV Shows New on Netflix Canada in January,0.276,0.724,0.0,0.6369
Albany Lawmakers Signal Consensus on New Sexual Harassment Policies,0.0,0.696,0.304,-0.5423
Andy Murray’s Australian Open Is in Doubt Because of Lingering Hip Problem,0.0,0.658,0.342,-0.6369
Five Festivals for the Open-Minded Theater and Dance Lover,0.474,0.526,0.0,0.743
"City Will Place 1,500 Bollards to Counter Vehicle Attacks",0.0,0.734,0.266,-0.4404
Walking the Dog,0.0,1.0,0.0,0.0
"As Flow of Foreign Students Wanes, U.S. Universities Feel the Sting",0.0,1.0,0.0,0.0
Netanyahu Allies Rethink Remapping of Jerusalem,0.0,1.0,0.0,0.0
U.S. Service Member Is Killed in Afghan Province,0.0,0.609,0.391,-0.6705
Activists’ Guide to 2018: The Best Defense Is a Good Offense,0.489,0.398,0.114,0.765
"MoneyGram and Ant Financial Call Off Merger, Citing Regulatory Concerns",0.0,1.0,0.0,0.0
Broadway Tops Its Biggest Week Ever,0.398,0.602,0.0,0.5106
Did Trump Kill the Plan for a Hudson Rail Tunnel? Its Backers Hope Not,0.148,0.612,0.24,-0.4215
Nathan Chen Has Taken the Quad to a New Level. Is It Good for Figure Skating?,0.162,0.838,0.0,0.4404
Critics Say Questions About Citizenship Could Wreck Chances for an Accurate Census,0.113,0.566,0.321,-0.5106
Iranian Authorities Block Access to Social Media Tools,0.0,0.707,0.293,-0.4404
Trump’s Aviation Boast Fails to Get in the Air,0.0,0.741,0.259,-0.4215
Canadian Hostage Freed From Taliban Is Charged With Sexual Assault,0.176,0.458,0.366,-0.4404
Woes Deepen for New York G.O.P. as Best Hope to Challenge Cuomo Bows Out,0.394,0.469,0.136,0.6705
"$900 Million Starrett City Sale Can Go Ahead, Judge Rules",0.0,1.0,0.0,0.0
Trump Says His ‘Nuclear Button’ Is ‘Much Bigger’ Than North Korea’s,0.0,1.0,0.0,0.0
The U.S. Hockey Team’s Mystery Men,0.0,1.0,0.0,0.0
Democrats Outline Demands as Threat of Shutdown Looms,0.0,0.545,0.455,-0.6124
Isaiah Thomas Helps End Losing Streak in His Cavaliers Debut,0.197,0.606,0.197,0.0
Settle This Dispute,0.0,0.426,0.574,-0.4019
Trump Accuses Former Clinton Aide of Failing to Follow Security Protocols,0.149,0.497,0.354,-0.5106
"Cuomo, in Bid to Help Poor, Proposes Ending Cash Bail for Minor Crimes",0.161,0.655,0.185,-0.1027
Showtime’s ‘The Circus’ Will Go On Without Mark Halperin,0.0,1.0,0.0,0.0
Arizona Fires Rich Rodriguez After Investigation Into Misconduct,0.34,0.66,0.0,0.5574
Social Media Shudders After Trump Mocks North Korea’s ‘Button’,0.0,0.727,0.273,-0.4588
Word + Quiz: amalgamate,0.0,1.0,0.0,0.0
Style,0.0,1.0,0.0,0.0
A Diary From a Gulag Meets Evil With Lightness,0.0,0.645,0.355,-0.6597
North Korea Reopens Border Hotline With South,0.0,1.0,0.0,0.0
Teaching Activities for: ‘Debunking Myths About Estrangement’,0.0,1.0,0.0,0.0
Stephen Colbert Blasts Trump for Twitter Feud With Kim Jong-un,0.0,0.789,0.211,-0.34
"As Iran Erupts in Protest, Tehran Is Notably Quiet",0.0,0.8,0.2,-0.25
Do You Believe in Astrology?,0.0,1.0,0.0,0.0
Masha Gessen Is Worried About Outrage Fatigue,0.0,0.348,0.652,-0.7579
What if My Mother’s Extramarital Cravings Are Linked to Dementia?,0.0,1.0,0.0,0.0
Meryl Streep and Tom Hanks on the #MeToo Moment and ‘The Post’,0.0,1.0,0.0,0.0
One Brooklyn Man’s Lonely Journey to Jihad,0.0,0.706,0.294,-0.3612
The Pianist of the Resistance Captures a Surprise Award,0.444,0.556,0.0,0.6808
The Case for the Subway,0.0,1.0,0.0,0.0
"Expect 2018 to Be More Sane? Sorry, It’s Not Going to Happen",0.0,0.875,0.125,-0.1477
Going to the Source for a Sacred Italian Cheese,0.0,1.0,0.0,0.0
"This Cat Sensed Death. What if Computers Could, Too?",0.0,0.672,0.328,-0.5994
Made in China: New and Potentially Lifesaving Drugs,0.0,1.0,0.0,0.0
"The ‘Nuclear Button’ Explained: For Starters, There’s No Button",0.0,0.784,0.216,-0.296
How ‘Not in My Backyard’ Became ‘Not in My Neighborhood’,0.0,1.0,0.0,0.0
This Judge Has a Mission: Keep Defendants Alive,0.271,0.729,0.0,0.3818
No Girls’ Night Out,0.0,0.577,0.423,-0.296
Exercise Alters Our Microbiome. Is That One Reason It’s So Good for Us?,0.238,0.762,0.0,0.5777
Ex-Homeland Security Officials Urge Faster Action on DACA,0.255,0.745,0.0,0.34
"Andy Dalton Saved the Bills, and Fans Flocked to His Charity",0.384,0.616,0.0,0.6808
Tesla Pushes Back Its Model 3 Targets Again: DealBook Briefing,0.0,1.0,0.0,0.0
Critics Say FIFA Is Stalling a Doping Inquiry as World Cup Nears,0.0,0.714,0.286,-0.4588
When Old News Is Good News: The Effect of 6 Elderly New Yorkers on One Middle-Aged Reporter,0.153,0.847,0.0,0.4404
‘Bomb Cyclone’: Rare Snow in South as North Braces for Bitter Cold,0.0,0.797,0.203,-0.4215
Petrobras of Brazil to Pay $2.95 Billion Over Corruption Scandal,0.0,0.65,0.35,-0.5106
"Hillsborough, N.J.: A Sprawling Community With an Urban and Rural Feel",0.0,1.0,0.0,0.0
"$900,000 Homes in Florida, New Mexico and Kentucky",0.0,1.0,0.0,0.0
Trump’s First Big Twitter Day of 2018: Analyzing Nuclear Buttons and the ‘Corrupt Media’,0.0,1.0,0.0,0.0
Mumbai Shuts Down as Protests Erupt Over Caste Tensions,0.0,0.603,0.397,-0.5574
Trump’s Threat to Cut Palestinian Aid Worries Many in Israel,0.0,0.458,0.542,-0.8074
"Thomas Roma, Photographer and Professor, Accused of Sexual Misconduct",0.0,0.784,0.216,-0.296
Hollywood on the Brink,0.0,1.0,0.0,0.0
Manhattan Market Blinks Ahead of Tax Overhaul,0.0,1.0,0.0,0.0
The (Really) Old and New Meet in Naples,0.0,1.0,0.0,0.0
"Kansas Is Suddenly Vulnerable at Home, and in the Big 12",0.0,0.84,0.16,-0.2263
"China’s ‘Saxophone Capital,’ a Factory Town Transfixed by Kenny G",0.0,1.0,0.0,0.0
Meet the Washington Bureau’s Fact-Checkers,0.0,1.0,0.0,0.0
Breaking the Hold of Drugs to Earn the Embrace of Her Children,0.173,0.827,0.0,0.3182
What to Cook Right Now,0.0,1.0,0.0,0.0
See the Art That Tavi Gevinson Collects,0.0,1.0,0.0,0.0
"A Philadelphia Theater Heading, and Sweating, in a New Direction",0.0,1.0,0.0,0.0
New Trailer: ‘Death Wish’,0.0,1.0,0.0,0.0
"Post-Weinstein, How We Will Be Covering the Red Carpets",0.0,1.0,0.0,0.0
Storm Eleanor Batters Europe,0.0,1.0,0.0,0.0
"Two Democrats Sworn In to Senate, Cutting the Republican Edge to One",0.0,0.88,0.12,-0.128
"Is Donald Trump, Wall-Builder-in-Chief, a Conceptual Artist?",0.0,1.0,0.0,0.0
"A Designer’s Healthy Answer to Bacon, Egg and Cheese",0.252,0.748,0.0,0.4019
"Beyoncé, Eminem and the Weeknd to Headline Coachella",0.0,1.0,0.0,0.0
"In the Bones of a Buried Child, Signs of a Massive Human Migration to the Americas",0.0,1.0,0.0,0.0
"N.H.S. Overwhelmed in Britain, Leaving Patients to Wait",0.146,0.854,0.0,0.0516
"Didi Chuxing, China’s Ride-Hailing Giant, Agrees to Buy Uber Rival in Brazil",0.141,0.859,0.0,0.2023
The Strange Origin of a Manakin’s Golden Crown,0.0,0.795,0.205,-0.2023
Read Trump’s Reaction to Steve Bannon’s Comments,0.0,1.0,0.0,0.0
"Trump Breaks With Bannon, Saying He Has ‘Lost His Mind’",0.0,1.0,0.0,0.0
A Selfie for Your Shelf,0.0,1.0,0.0,0.0
Europe Resists Trump’s Call for Tougher Measures on Iran,0.175,0.825,0.0,0.1779
‘Jeopardy!’ Tells Contestant: A ‘Gangster’ Is Not a ‘Gangsta’,0.0,1.0,0.0,0.0
A Plan for the Knicks’ Future? Look to the Spurs’ Past,0.0,1.0,0.0,0.0
Banker From Turkey Is Convicted in U.S. Over Plot to Evade Iran Sanctions,0.0,1.0,0.0,0.0
Fashion Institute of Technology’s Library Gets a Makeover,0.0,1.0,0.0,0.0
"On the Golden Globes Red Carpet, Fighting Back in Black",0.0,0.783,0.217,-0.3612
Deep Freeze in U.S. Creates Heating Squeeze for Homeowners and Utilities,0.268,0.732,0.0,0.3182
Fed Plans to Raise Rates in 2018 but Lacks Consensus on Frequency,0.0,1.0,0.0,0.0
Analyzing the Elements of Art: Four Ways to Think About Value,0.194,0.806,0.0,0.34
Analyzing the Elements of Art | Five Ways to Think About Space,0.0,1.0,0.0,0.0
The Bad Plus Greet the New Year With a New Lineup,0.155,0.608,0.236,-0.296
"Working Out With Charles Glass, a Trainer to the Stars",0.0,1.0,0.0,0.0
Tapping Technology to Advance the Future of Journalism,0.0,1.0,0.0,0.0
Three New Year’s Resolutions That Can Help Fight Climate Change,0.203,0.602,0.195,0.0258
Twitter’s Shifting Positions on Trump’s Tweets,0.0,1.0,0.0,0.0
School Soccer Coach in California Charged With Trafficking Teenage Girls,0.0,0.833,0.167,-0.2023
Paul Manafort Sues Mueller and Asks a Judge to Narrow the Russia Investigation,0.0,1.0,0.0,0.0
Russia and Venezuela’s Plan to Sidestep Sanctions: Virtual Currencies,0.0,1.0,0.0,0.0
What Is Unrwa and What Would It Mean if Trump Cuts Its Funding?,0.0,0.845,0.155,-0.296
The Hospital Gown Gets a Modest Redesign,0.0,1.0,0.0,0.0
Virginia’s Tiebreaker Drawing Is Back On. But It May Not Settle House Race.,0.0,1.0,0.0,0.0
A Literary Journey Underground,0.0,1.0,0.0,0.0
Art Owned by La Salle University Headed for Auction at Christie’s,0.0,1.0,0.0,0.0
"Modern Love Podcast: Margarita Levieva Reads ‘In the New Year, More Cuddling’",0.276,0.724,0.0,0.6369
"W.H.O. Approves a Safe, Inexpensive Typhoid Vaccine",0.528,0.472,0.0,0.6808
What Is a ‘Bomb Cyclone?’ Here’s How It Works.,0.0,1.0,0.0,0.0
Iceland Makes Companies Prove They’re Not Paying Women Less,0.0,1.0,0.0,0.0
"Car Sales End a 7-Year Upswing, With More Challenges Ahead",0.15,0.85,0.0,0.1513
What’s Happening to the Birds That Flew South for the Winter?,0.0,1.0,0.0,0.0
Spotify Is Said to Be Going Public in Early 2018,0.0,1.0,0.0,0.0
"From Bitcoin to Russia Investigation, a Look Ahead at 2018",0.0,1.0,0.0,0.0
Ethiopia Says It Will Close Notorious Prison and Free Some Inmates,0.189,0.457,0.354,-0.4404
Why So Cold? Climate Change May Be Part of the Answer,0.0,1.0,0.0,0.0
Researchers Discover Two Major Flaws in the World’s Computers,0.0,1.0,0.0,0.0
The Big Tech Trends to Follow at CES 2018,0.0,1.0,0.0,0.0
Thieves Steal Qatari Jewels in Brazen Theft at Ducal Palace in Venice,0.162,0.486,0.351,-0.5423
A Glasses Menagerie,0.0,1.0,0.0,0.0
Ex-N.S.A. Worker Accused of Stealing Trove of Secrets Offers to Plead Guilty,0.0,0.508,0.492,-0.8271
Subway Stop and Housing for Red Hook Are Among Cuomo Proposals,0.0,0.82,0.18,-0.296
"Peru Bans Buses From Road Where Bus Plunged, Killing 51",0.0,0.672,0.328,-0.6597
"U.S. Attorneys Named in 17 Districts, Including Brooklyn and Manhattan",0.0,1.0,0.0,0.0
"Iranians, Like Their Leaders, See Foreign Hand in Protests",0.419,0.441,0.14,0.5859
Companies Are Handing Out Bonuses Thanks to the Tax Law. Is It a Publicity Stunt?,0.333,0.667,0.0,0.7579
"For Mormons, Succession Drama Is Against Their Religion",0.205,0.795,0.0,0.2023
Will 2018 Be the Year of Protectionism? Trump Alone Will Decide,0.0,0.833,0.167,-0.25
"Motel 6 Gave Guest Lists to Immigration Agents in Washington State, Lawsuit Says",0.0,0.863,0.137,-0.2263
"Sober and H.I.V. Positive, New Council Speaker Has Weathered Adversity",0.25,0.556,0.194,0.2023
Trump Disbands Commission on Voter Fraud,0.0,0.568,0.432,-0.5859
Toronto Theater Company Leader Steps Aside Amid Harassment Suits,0.0,0.696,0.304,-0.5423
Race Rears Its Head as New York City Council Elects New Leader,0.0,1.0,0.0,0.0
"As North and South Korea Begin to Talk, Trump Watches From Sidelines",0.0,1.0,0.0,0.0
"Cuomo Charts Course for 2018, Eyeing Trump on the Horizon",0.0,1.0,0.0,0.0
Central Florida Claims a National Title. Want to Fight About It?,0.101,0.698,0.202,-0.3182
"Tesla Reports New Setback for Model 3, With Output Lagging",0.0,0.811,0.189,-0.2732
"Man, 65, Dies After Teenager Punches Him, Knocking Him Onto Subway Tracks",0.0,1.0,0.0,0.0
Something to Leave at the Post Office,0.0,0.833,0.167,-0.0516
U.S. Skating Officials Brush Aside Talk of Boycotting Olympics,0.0,0.748,0.252,-0.4019
"With Sale, Essence Is Once Again a Fully Black-Owned Magazine",0.0,1.0,0.0,0.0
Word + Quiz: catalyst,0.0,1.0,0.0,0.0
"For Native Americans, a ‘Historic Moment’ on the Path to Power at the Ballot Box",0.0,1.0,0.0,0.0
The Case for Using a Paper Planner,0.0,1.0,0.0,0.0
5 Cheap(ish) Things to Keep You Warm,0.241,0.759,0.0,0.2263
"Who Needs Trade Talks? These Days, General Managers Just Use Emojis",0.0,1.0,0.0,0.0
Cold Weather,0.0,1.0,0.0,0.0
Australia’s Prime Minister Warns of ‘Gang Violence’ by African Migrants,0.0,0.865,0.135,-0.1027
"Teaching Activities for: ‘Hard-Liners and Reformers Tapped Iranians’ Ire. Now, Both Are Protest Targets.’",0.0,0.867,0.133,-0.25
Visualizing Magical Realism in Ecuador,0.0,1.0,0.0,0.0
"In Germany’s Theaters, Stories of Exiles and Refugees",0.0,1.0,0.0,0.0
‘Bomb Cyclone’: Snow and Bitter Cold Blast the Northeast,0.0,0.741,0.259,-0.4215
When Have You Reinvented Yourself?,0.0,1.0,0.0,0.0
Letter of Recommendation: Floating,0.0,1.0,0.0,0.0
Where Pot Entrepreneurs Go When the Banks Just Say No,0.0,0.804,0.196,-0.296
Seeing Kale With New Eyes,0.0,1.0,0.0,0.0
"A Strange Itch, Trouble Breathing, Then Anaphylactic Shock",0.0,0.413,0.587,-0.7269
Looking for a Fixer-Upper in Park Slope,0.0,1.0,0.0,0.0
A Gumbo of Crime: From the Bayou to Britain,0.0,0.696,0.304,-0.5423
Daniel Mendelsohn: By the Book,0.0,1.0,0.0,0.0
"Greta Gerwig: My Mother, My City",0.0,1.0,0.0,0.0
A Nashville Restaurant That Tastes as Good as It Looks,0.244,0.756,0.0,0.4404
What Whitney Cummings Can’t Travel Without,0.0,1.0,0.0,0.0
"The Greatest Figure Skater Ever Is Michael Jackson on Ice, Surrounded by Winnie the Poohs",0.231,0.769,0.0,0.6369
Jacqueline Woodson Is Named National Ambassador for Young People’s Literature,0.0,1.0,0.0,0.0
Stephen Colbert Wants One of Trump’s ‘Corrupt Media Awards’,0.0,1.0,0.0,0.0
When the Lung Cancer Patient Climbs Mountains,0.0,0.577,0.423,-0.6597
Peak Sneaker: Inside Sneaker Con,0.0,1.0,0.0,0.0
Competing With the Giants in Race to Build Self-Driving Cars,0.0,1.0,0.0,0.0
Tibetan Businessman Battles Separatism Charges in Chinese Court,0.0,0.561,0.439,-0.5719
A Chinese Space Station Will Fall to Earth Soon. You’ll Probably Be Fine.,0.13,0.87,0.0,0.2023
Trump Moves to Greatly Expand Offshore Drilling: DealBook Briefing,0.245,0.755,0.0,0.3804
"North Korea’s Overture Raises Hopes, but Huge Obstacles Loom",0.311,0.321,0.369,-0.2263
Cate Blanchett to Lead Cannes Film Festival Jury,0.314,0.686,0.0,0.4939
"Iranian Hackers: Sophisticated, Frustrated and a Rising Global Threat",0.22,0.366,0.415,-0.4939
Homes for Sale in Connecticut and New York,0.0,1.0,0.0,0.0
Homes for Sale in New York City,0.0,1.0,0.0,0.0
"Across Indonesia’s Capital, a Legacy of Soviet-Inspired Design",0.0,1.0,0.0,0.0
"Internet Users in China Expect to Be Tracked. Now, They Want Privacy.",0.106,0.894,0.0,0.0772
"Disney Hotels, Citing Safety and Other Reasons, Drop ‘Do Not Disturb’ Signs",0.188,0.671,0.141,0.1779
Columbia Professor Accused of Sexual Misconduct Retires,0.0,0.732,0.268,-0.296
